Sheila Coleen Nkhensani Sithole,Sheila Sithole,Bookkeeping (Not active now)
Simanga Happy Mbuyane,Director: Seciso Trading,Business
Simphiwe George Mthimunye,Metsweding Social Housing,Social Housing Development and Management
Sophie Suzan Thembekwayo,Hauzen Guest House (Pty)Ltd,Accommodation
Stevens Mokgalapa,Esselen Street C.I.D,Section 21 Non-Profit Organisation (Resigned)
Susan Shabangu,Koketso Modiba Foundation for girls education and Development,Trust
Tasneem Motara,Imani Investments (Pty)Ltd,Trading
Terence Skhumbuzo Mpanza,Sharks Board,Board Member
Terri Stander,Early Light Trading 107 CC,Dormant / Closing
Thandi Ruth Modise,E Five Telecommunications - Resigned,Private Company
Thandi Ruth Modise,Ntidi Trading CC,Deregistration Process
Thandi Ruth Modise,Illitha labantu Holdings - Resigned,Charity
Thandi Ruth Modise,Stairway Corporate Finance - Resigned,Deregistered
Thapelo Dorothy Chiloane,Bhombo's Transport Services,Transportation (Redundant)
Thapelo Dorothy Chiloane,Thekgo Catering Services,Catering ( Redundant)
Thembi Majola,Thenoma Consulting,Business Development (Dormant)
Thembi Majola,Maboko Trading,Dormant
Theophilus Mbulelo Nkonzo,Member Declared all companies that were listed has been deregistered
Thilivhali Elphus Mulaudzi,Gwamasenga dry Clean,Dry Clean
Thilivhali Elphus Mulaudzi,Mighty Transport Academy,Transport Training (Dormant)
Thilivhali Elphus Mulaudzi,Tshitwani Fresh Fruit (Pty)Ltd,Fruit Farming
Thomas Makondo,Bend and Agricultural Co- Operative,Co-Operative
Thomas Makondo,HO Contest (Pty)Ltd,Business
Thomas Makondo,Allende (Pty)Ltd,Dormant
Thomas Makondo,Wolkberg Fruit Processing (Pty)Ltd,Dormant
Thomas Makondo,Vexlowiz (Pty)Ltd,Business
Thomas Zwelakhe Hadebe,Ingolobane YamaAfrka CC,Deregistrarion
Timothy James Brauteseth,Multiple Close Corporations - Deregistered,None Active
Thokozile Xasa,Siyamiva Development foundation,NPO
Thokozile Xasa,Khanya Development Centre,NPO
Tsepo Winston Mhlongo,Mhlongo Exclusive Community Shop,Stationery Shop
Tsepo Winston Mhlongo,5TM Exclusive,Internet Cafe
Tsepo Winston Mhlongo,5TM Exclusive,Business
Michael Masutha,Director - Medunsa (Organisation for the Disabled Enterprises),S21 Company(Non-Remunerative)
Michael Masutha,Non Executive Catholic Inst.Educ.(CIE),Investment company to Support Catholic Scools
Vatiswa Bam-Mugwanya,Tshani-Mankosi Co-Op,Cooperative
Vatiswa Bam-Mugwanya,Ocean View Guest House,Guest House
Veronica Van Dyk,Daisy Ubuntu Charity - Non Governmental Organisation,"Disabled people, Children and disadvantage"
Vincent George Smith,Nambiti Nextwave Consultants,Resigned as Director 2009
Vincent George Smith,Leshema Financial Management DORMANT,
Vincent George Smith,Decamach CC,DORMANT
Vincent George Smith,Centfin CC,DORMANT
Vincent George Smith,Ilima Lesizwe Investments,Property Developers
Vincent George Smith,Umyezo Property Holdings,Property Developers
Vincent George Smith,Euroblitz 48 (Pty)ltd,Property Developers
Vincent George Smith,Vincent G Smith Family Trust,Family Trust
Walter Bongani Maphanga,Dwayeni Enterprises - MD,Cleaning Services
Walter Bongani Maphanga,Managing Director - Joint Venture Security Services,
Xoliswa Sandra Tom,Phakamani Womens Skills Development Enterprise (Member),CC
Xoliswa Sandra Tom,Sinako Institute for Education and Capacity Building (Director),NGO
Xoliswa Sandra Tom,Tree of Life Leadership Institute Tolli,NGO
Xoliswa Sandra Tom,Eastern Cape Poverty Foundation,NGO
Yvonne Nkwenkwezi Phosa,Non Executive Director,Ntataise Lowveld NPC
Yvonne Nkwenkwezi Phosa,Director (Resigned),Uplands College Properties
Yvonne Nkwenkwezi Phosa,Director (Resigned),Uplands Preparatory School
Yvonne Nkwenkwezi Phosa,Director,Nelspruit Project Management and Development Services
Yvonne Nkwenkwezi Phosa,Director (Resigned),Uplands College
Yvonne Nkwenkwezi Phosa,Member (Dormant),Nikiwe Projects
Yvonne Nkwenkwezi Phosa,Director(Deregistered),Songizwe Clothing
Yvonne Nkwenkwezi Phosa,Director(Deregistered),Ganima Investment Holdings
Yvonne Nkwenkwezi Phosa,Director (Resigned),Destinations for Africa
Yvonne Nkwenkwezi Phosa,Director(Dormant),Urban Falls Investments
Yvonne Nkwenkwezi Phosa,Director(Deregistered),Mabhuza Holding Investments
Yvonne Nkwenkwezi Phosa,Director(Dormant),Khule Security Services
Yvonne Nkwenkwezi Phosa,Director(Dormant),Ya Ya Investments
Zakhele Njabulo Mbhele,Five-Oh-Two,Gastronomy Events
Zakhele Njabulo Mbhele,Director- Thoth Media,Media
Zakhele Njabulo Mbhele,Director - Concerts in the Park,Community Concerts
Zephroma Sizani Dlamini-Dubazana,Non-Executive Director,Yellow Star Trading (Pty)Ltd - Accommodation
Zephroma Sizani Dlamini-Dubazana,Non-Executive Director,Hola Restaurant
Zolile Roger Xalisa,Xolisa Enterprises Transport and Removal services - Trading as a Funeral Parlour,Repatriations Funeral Services
Zweli Mkhize,Ikusasa Le Afrika Foundation,Non Profit Organisation
Zwelivelile Mandlesizwe Dalibhunga Mandela,Director,MK Freight Systems
